year,revenue,Pcost,Dcost,Hprice,temp,rain,sun,insolation,gdp,area,yield
2003,2967928,970859,,964,21.26,278.7,246.04,480.12,837365,1453,33757
2004,2464796,811440,,1127,22.1,249.96,205.78,533.8,908439,3617,85393
2005,2293954,781031,,1076,22.4,154.28,221.82,532.5,957447,2982,58162
2006,1815957,764959,,1027,21.58,226.26,197.82,511.7,1005601,1998,44697
2007,3500120,786538,,1379,22,241.08,170.86,516.5,1089660,1939,55902
2008,2382732,945396,,1399,22.04,143.4,182.68,542.2,1154217,2176,58560
2009,2827442,1004856,,1189,21.92,185.74,197.94,611.9,1205348,2420,63586
2010,4012234,1203084,,1441,22.74,218.84,186.82,596.9,1322611,1830,42516
2011,3024160,1415434,,1745,22.38,218.72,173.28,599,1388937,2002,47748
2012,4262859,1632723,,1829,22.74,234.88,212.52,569,1440111,1805,38782
2013,3519750,1566851,,1945,23.18,165.9,236.04,592.7,1500819,2094,56248
2014,3341117,1284844,,2265,21.94,210.92,200.22,604,1562929,1831,48376
2015,3691380,1240819,,2299,21.9,133.56,231.32,582.2,1658020,2321,67038
2016,5450914,1694055,,2322,22.98,149.7,230.98,593.3,1740779,1216,28487
2017,3968708,1670271,,2205,22.82,120.78,235.52,592.7,1835698,810,18837
2018,3885368,1709700,,2277,23.12,170.66,234.38,590,1898193,2271,46982
2019,3659691,1626907,,2282,22.34,199.88,223.2,576.3,1924498,1008,27111
2020,6311104,1915364,,2412,22.12,266.5,190.78,528.5,1940726,1157,29745
2021,6088418,2559604,,2804,22.92,206.04,218.18,583.9,2071658,1336,34829
