year,revenue,Pcost,Dcost,Hprice,temp,rain,sun,insolation,gdp,area,yield
2003,1893985,1327392,60.9,30365,21.26,278.7,246.04,480.12,837365,14055,161773
2004,2236788,1384291,62.7,20807,22.1,249.96,205.78,533.8,908439,12276,144611
2005,2006715,1423161,68.2,21080,22.4,154.28,221.82,532.5,957447,12588,146607
2006,1794489,1475108,68.1,22882,21.58,226.26,197.82,511.7,1005601,11211,125079
2007,2347334,1535261,56,22833,22,241.08,170.86,516.5,1089660,10373,129070
2008,2129120,1676749,62.2,25213,22.04,143.4,182.68,542.2,1154217,10486,131204
2009,2201055,1676430,61.5,24833,21.92,185.74,197.94,611.9,1205348,9168,121022
2010,4268301,1811020,53.4,21773,22.74,218.84,186.82,596.9,1322611,7484,82909
2011,4562347,2295367,56,23407,22.38,218.72,173.28,599,1388937,7546,84197
2012,4111065,2810858,52.8,28340,22.74,234.88,212.52,569,1440111,9115,97383
2013,3645972,2879154,57.6,31893,23.18,165.9,236.04,592.7,1500819,8895,109263
2014,3097018,2787724,61.8,37573,21.94,210.92,200.22,604,1562929,7374,96403
2015,5072091,2927910,51.8,37667,21.9,133.56,231.32,582.2,1658020,5425,66059
2016,5800890,3271180,48.5,40067,22.98,149.7,230.98,593.3,1740779,5099,59291
2017,4841941,3375944,41,40100,22.82,120.78,235.52,592.7,1835698,6346,70104
2018,3612573,3461315,53.8,44200,23.12,170.66,234.38,590,1898193,6030,60089
2019,3287901,3348357,67.2,50333,22.34,199.88,223.2,576.3,1924498,5803,73674
2020,3749035,3273845,60.6,55533,22.12,266.5,190.78,528.5,1940726,5326,70437
2021,6113467,3515064,62.8,52403,22.92,206.04,218.18,583.9,2071658,3917,47749
