year,revenue,Pcost,Dcost,Hprice,temp,rain,sun,insolation,gdp,area,yield
2003,2376437,1090293,65,9174,21.26,278.7,246.04,480.12,837365,6658,408110
2004,1770701,1023059,67.8,9609,22.1,249.96,205.78,533.8,908439,9010,524744
2005,1907964,1047800,68.8,8509,22.4,154.28,221.82,532.5,957447,8653,521677
2006,1848767,1102555,71.7,9215,21.58,226.26,197.82,511.7,1005601,8571,479252
2007,1725379,1186266,72.2,10668,22,241.08,170.86,516.5,1089660,9731,678843
2008,3147993,1285606,71.7,13228,22.04,143.4,182.68,542.2,1154217,8165,535704
2009,2935666,1372056,74.5,11259,21.92,185.74,197.94,611.9,1205348,10152,750714
2010,3243883,1421842,72.2,12085,22.74,218.84,186.82,596.9,1322611,11754,751059
2011,2908421,1508709,71.9,14417,22.38,218.72,173.28,599,1388937,12166,780648
2012,3492581,1825903,70.8,13629,22.74,234.88,212.52,569,1440111,10715,582994
2013,4364701,2157356,68.4,12010,23.18,165.9,236.04,592.7,1500819,10124,580151
2014,2254878,2137061,77.2,15750,21.94,210.92,200.22,604,1562929,12080,763335
2015,3521614,2165649,63.8,13780,21.9,133.56,231.32,582.2,1658020,9171,543208
2016,3621129,2445486,71,10340,22.98,149.7,230.98,593.3,1740779,9521,569472
2017,4525183,2493505,66.4,12700,22.82,120.78,235.52,592.7,1835698,9230,514896
2018,2705677,2537446,76.2,13888,23.12,170.66,234.38,590,1898193,11327,558659
2019,2781872,2533348,88.7,12788,22.34,199.88,223.2,576.3,1924498,8467,581958
2020,4285139,2709048,81.7,13678,22.12,266.5,190.78,528.5,1940726,5743,452737
2021,4678241,2862982,82.3,14237,22.92,206.04,218.18,583.9,2071658,6775,579053
