year,revenue,Pcost,Dcost,Hprice,temp,rain,sun,insolation,gdp,area,yield
2009,3588001,1247246,50.7,12064,21.92,185.74,197.94,611.9,1205348,228,3324
2010,4169308,1340497,36.4,11840,22.74,218.84,186.82,596.9,1322611,246,2922
2011,4174118,1566950,36.7,12635,22.38,218.72,173.28,599,1388937,255,3121
2012,5213359,1693942,36.9,13752,22.74,234.88,212.52,569,1440111,246,3092
2013,5306828,1682802,36.9,14250,23.18,165.9,236.04,592.7,1500819,176,2068
2014,4849784,1710299,37.3,14605,21.94,210.92,200.22,604,1562929,159,1895
2015,5078133,1678691,37.3,15504,21.9,133.56,231.32,582.2,1658020,189,2252
2016,4833192,1705820,40.3,14864,22.98,149.7,230.98,593.3,1740779,575,6841
2017,4543659,1771363,40.3,15572,22.82,120.78,235.52,592.7,1835698,590,4861
2018,5210418,1752010,32.5,16029,23.12,170.66,234.38,590,1898193,573,4364
2019,4367747,1887326,32.5,15384,22.34,199.88,223.2,576.3,1924498,596,6187
2020,3770676,2012039,34.8,17183,22.12,266.5,190.78,528.5,1940726,598,5702
2021,4861367,2164026,34.8,17673,22.92,206.04,218.18,583.9,2071658,583,5779
