year,revenue,Pcost,Dcost,Hprice,temp,rain,sun,insolation,gdp,area,yield
2003,2333302,1354163,27.3,166310,21.26,278.7,246.04,480.12,837365,8863,18632
2004,2384926,1378777,22.3,218000,22.1,249.96,205.78,533.8,908439,9918,29199
2005,2209103,1496672,30,218000,22.4,154.28,221.82,532.5,957447,9852,27636
2006,2484390,1617256,33.5,234700,21.58,226.26,197.82,511.7,1005601,8833,19203
2007,2544211,1581456,34.6,228333,22,241.08,170.86,516.5,1089660,9284,30376
2008,2635983,1731730,33.8,257533,22.04,143.4,182.68,542.2,1154217,8305,24525
2009,2856825,1847842,32.7,261867,21.92,185.74,197.94,611.9,1205348,7464,17528
2010,2452345,1908036,19.6,257500,22.74,218.84,186.82,596.9,1322611,7650,18180
2011,4217265,2062704,21.5,260867,22.38,218.72,173.28,599,1388937,7265,16326
2012,4322148,3049352,26,283533,22.74,234.88,212.52,569,1440111,8110,18580
2013,2910452,3038335,35.4,332000,23.18,165.9,236.04,592.7,1500819,8859,24561
2014,2999310,3167281,32.6,377267,21.94,210.92,200.22,604,1562929,6792,16434
2015,3330785,3300926,36.7,389600,21.9,133.56,231.32,582.2,1658020,6194,17535
2016,2829572,3269882,50.2,418667,22.98,149.7,230.98,593.3,1740779,5367,14174
2017,3419980,3294760,40.1,395000,22.82,120.78,235.52,592.7,1835698,4421,10077
2018,5343604,3665395,45.6,362933,23.12,170.66,234.38,590,1898193,4456,10651
2019,3626489,3490724,42.9,363333,22.34,199.88,223.2,576.3,1924498,4914,11413
2020,4568889,3707979,39.2,441667,22.12,266.5,190.78,528.5,1940726,4682,9941
2021,5079001,3888878,49.9,433611,22.92,206.04,218.18,583.9,2071658,5067,13248
