year,revenue,Pcost,Dcost,Hprice,temp,rain,sun,insolation,gdp,area,yield
2003,901691,592728,15.2,38356,21.26,278.7,246.04,480.12,837365,204357,883484
2004,971118,587748,16.3,41700,22.1,249.96,205.78,533.8,908439,204401,962522
2005,823198,587895,23.2,42300,22.4,154.28,221.82,532.5,957447,199366,920213
2006,812477,600120,22.3,41733,21.58,226.26,197.82,511.7,1005601,195161,892241
2007,776890,607354,21.2,40933,22,241.08,170.86,516.5,1089660,193064,816147
2008,904193,629677,20.9,40400,22.04,143.4,182.68,542.2,1154217,189231,901302
2009,864741,624970,19.6,39740,21.92,185.74,197.94,611.9,1205348,187533,913092
2010,767325,614339,20.7,39742,22.74,218.84,186.82,596.9,1322611,183804,846035
2011,910466,628255,21.3,38080,22.38,218.72,173.28,599,1388937,174930,829040
2012,814116,712523,20.8,39400,22.74,234.88,212.52,569,1440111,173283,700405
2013,1001831,667320,21.5,39873,23.18,165.9,236.04,592.7,1500819,170690,800653
2014,935181,669684,22,40600,21.94,210.92,200.22,604,1562929,169585,787425
2015,912402,637718,25.8,41320,21.9,133.56,231.32,582.2,1658020,170185,842892
2016,777617,639375,28.7,41907,22.98,149.7,230.98,593.3,1740779,166444,823463
2017,940650,642920,27,41933,22.82,120.78,235.52,592.7,1835698,161442,804903
2018,1109142,824475,24.3,39987,23.12,170.66,234.38,590,1898193,154970,745408
2019,1025209,763269,24.2,39987,22.34,199.88,223.2,576.3,1924498,154091,705581
2020,1095939,741202,23.6,40523,22.12,266.5,190.78,528.5,1940726,156230,669302
2021,1222889,777358,27.2,42507,22.92,206.04,218.18,583.9,2071658,155435,768400
