year,revenue,Pcost,Dcost,Hprice,temp,rain,sun,insolation,gdp,area,yield
2003,2522160,1243804,,5018,21.26,278.7,246.04,480.12,837365,1524,24996
2004,2364379,1150817,,5389,22.1,249.96,205.78,533.8,908439,1674,25082
2005,2525731,1176600,,5500,22.4,154.28,221.82,532.5,957447,1421,20024
2006,2229471,1167319,,5355,21.58,226.26,197.82,511.7,1005601,1268,17657
2007,2445455,1418609,,5377,22,241.08,170.86,516.5,1089660,1294,15981
2008,4829202,2236021,,5657,22.04,143.4,182.68,542.2,1154217,1382,17615
2009,4988689,2386839,,5703,21.92,185.74,197.94,611.9,1205348,1147,14782
2010,5989764,2286896,,6490,22.74,218.84,186.82,596.9,1322611,461,6024
2011,6136533,2587076,,7323,22.38,218.72,173.28,599,1388937,747,8590
2012,6136533,2587076,,7610,22.74,234.88,212.52,569,1440111,778,10527
2013,7234830,2890798,,8070,23.18,165.9,236.04,592.7,1500819,1161,14196
2014,5832414,2898422,,9380,21.94,210.92,200.22,604,1562929,980,10781
2015,5965819,2559247,,9660,21.9,133.56,231.32,582.2,1658020,865,10671
2016,6015574,2714829,,9467,22.98,149.7,230.98,593.3,1740779,680,8811
2017,5094755,2403584,,10360,22.82,120.78,235.52,592.7,1835698,643,8354
2018,5462993,2704450,,10587,23.12,170.66,234.38,590,1898193,569,7455
2019,5698728,3072621,,10560,22.34,199.88,223.2,576.3,1924498,639,8038
2020,6145580,2851046,,10597,22.12,266.5,190.78,528.5,1940726,510,6512
2021,6487463,3070997,,10047,22.92,206.04,218.18,583.9,2071658,325,4201
